Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity,Translation_Predicted
1/1/1900 0:01,1/1/1900 0:01,"Dziś, żeby wygrać, będą musieli współpracować.","Today, to win, they will have to cooperate.",expectation,neutral,neutral,"Today they're gonna have to win, and they're gonna have to win the competition."
1/1/1900 0:01,1/1/1900 0:01,"To co, łapiemy gołębie na czas?","So, are we catching pigeons for time?",playfulness,happiness,mild,"That's what we're doing, and it's time for a while."
1/1/1900 0:01,1/1/1900 0:01,Adam będzie szukał wiewiórek.,Adam will be looking for squirrels.,curiosity,neutral,mild,Adam knows that he's gonna be watching his daughters.
1/1/1900 0:01,1/1/1900 0:01,Ja mam wiewiórki.,I have squirrels.,contentment,happiness,mild,I've got a lead to the tower.
1/1/1900 0:01,1/1/1900 0:01,"Co, jakieś drzewa?","What, some trees?",confusion,surprise,mild,What about the trees?
1/1/1900 0:01,1/1/1900 0:01,Jak posadzisz.,As you plant.,curiosity,neutral,neutral,"As soon as you're going to go, you're going to take a job."
1/1/1900 0:02,1/1/1900 0:02,Witajcie na krakowskim rynku.,Welcome to the Krakow market square.,welcome,happiness,mild,"Welcome to the market, welcome to the market."
1/1/1900 0:02,1/1/1900 0:02,Przed Wami monumentalne zadanie.,A monumental task lies ahead of you.,anticipation,surprise,moderate,"Before you're done, it's the ultimate task force of the Vatican."
1/1/1900 0:02,1/1/1900 0:02,"Nigdy w moim życiu nie przypuszczałbym, że ja rynku będę gotować coś fajnego.",Never in my life would I have thought that I would be cooking something cool at the market.,amazement,surprise,moderate,I'd never think I'd be cool with my life.
1/1/1900 0:02,1/1/1900 0:02,Były jakieś spekulacje.,There were some speculations.,uncertainty,neutral,mild,There was some kind of an indication of asteroid on the subject.
1/1/1900 0:02,1/1/1900 0:02,"Może na wesele, może dla kogoś ważnego.","Maybe for a wedding, maybe for someone important.",consideration,neutral,mild,Maybe it's important for someone who can make a wedding wedding.
1/1/1900 0:02,1/1/1900 0:02,"Różne pomysły, może kuchnia francuska.","Various ideas, maybe French cuisine.",curiosity,neutral,mild,"The kitchen, the French kitchen can be divided into the French kitchen."
1/1/1900 0:02,1/1/1900 0:02,"Kuchnia hiszpańska, kuchnia włoska.","Spanish cuisine, Italian cuisine.",interest,neutral,neutral,"Spanish, Italian, Spanish, Italian, Italian, Italian, Italian, Italian, Italian, Italian, Italian, Italian, Spanish-looking-looking-looking-looking-looking-looking-looking-looking-looking-looking-school-shore."
1/1/1900 0:02,1/1/1900 0:02,Ja byłam przygotowana na Meksyk.,I was prepared for Mexico.,readiness,neutral,neutral,I was prepared for Mexico.
1/1/1900 0:02,1/1/1900 0:02,Na Meksyk.,To Mexico.,anticipation,happiness,mild,"For Mexico's sake, it's a Mexico."
1/1/1900 0:02,1/1/1900 0:02,Przygotujecie imprezę urodzinową dla 150 wyjątkowych osób.,You will prepare a birthday party for 150 special people.,anticipation,happiness,moderate,You're going to take a birthday party to the people who are responsible for 150 people.
1/1/1900 0:02,1/1/1900 0:02,Dla tak dużej ilości ludzi nigdy nie gotowałem.,I have never cooked for so many people.,apprehension,fear,mild,"For the big amount of people, I've never been able to get a large amount of people."
1/1/1900 0:02,1/1/1900 0:02,Waszymi gośćmi będą...,Your guests will be...,anticipation,surprise,mild,Your guy's gonna be in the middle of the woods.
1/1/1900 0:02,1/1/1900 0:02,DZIECI!,CHILDREN!,alarm,surprise,intense,This is the D.A.A.C.A.
1/1/1900 0:02,1/1/1900 0:02,Lubię gotować leleczki.,I like to cook leleczki.,fondness,happiness,mild,"I like to cook you, and I like to cook the piano."
1/1/1900 0:02,1/1/1900 0:02,Sam mam troje i naprawdę super.,I myself have three and it's really great.,contentment,happiness,mild,Sam and I have a great lead to the throne.
1/1/1900 0:02,1/1/1900 0:02,Każda drużyna zrobi dziecięce menu składające się z głównego dania i deserów.,Each team will make a children's menu consisting of a main course and desserts.,anticipation,neutral,neutral,Each team will be able to accommodate the plaintiffs at the same time.
1/1/1900 0:02,1/1/1900 0:03,150 dzieciaków.,150 kids.,neutrality,neutral,neutral,"You know, you know, the kids are gonna have a 150-year-old baby."
1/1/1900 0:03,1/1/1900 0:03,No ręce mi opadły.,"Well, my hands dropped (idiom: I'm at a loss / I'm exasperated).",exasperation,sadness,moderate,"No, no, no, no, no, no."
1/1/1900 0:03,1/1/1900 0:03,Jeszcze mnie nikt nie chciał wziąć do drużyny.,No one has wanted to take me into the team yet.,rejection,sadness,moderate,No one else wants to take me to the team.
1/1/1900 0:03,1/1/1900 0:03,Podzielicie się na dwie drużyny i to będzie pojedynek.,You will split into two teams and it will be a duel.,anticipation,surprise,mild,"After that, it's a team, and it's going to be a team."
1/1/1900 0:03,1/1/1900 0:03,Bardzo trudny pojedynek.,A very difficult duel.,challenge,fear,moderate,Very difficult to go through the woods.
1/1/1900 0:03,1/1/1900 0:03,"Leszek, to ty wygrałeś ostatnią konkurencję i teraz w nagrodę to ty będziesz mógł sobie wybrać najlepszą twoim zdaniem ekipę i będziesz jej kapitanem.","Leszek, you won the last competition and now as a reward you will be able to choose the team you think is the best and you will be its captain.",recognition,happiness,mild,"You're gonna be the last one to win your team, and you're gonna be the one who's gonna win your team."
1/1/1900 0:03,1/1/1900 0:03,Dobry wybór to kluczowa decyzja.,A good choice is a key decision.,thoughtfulness,neutral,neutral,It's a good choice to make the choice of this Decision.
1/1/1900 0:03,1/1/1900 0:03,Zespół musi być jak świetnie działający mechanizm.,The team must be like a perfectly functioning mechanism.,expectation,neutral,neutral,The band of the team has to be great at the same time as the band.
1/1/1900 0:03,1/1/1900 0:03,Leszek mi wybrał nawet jako pierwszy.,Leszek even chose me first.,gratitude,happiness,mild,"Lestering in the first place, as the first thing I'm concerned."
1/1/1900 0:03,1/1/1900 0:03,"Zaskoczony byłem, ale no fajnie.","I was surprised, but well, nice.",curiosity,surprise,mild,"But I was pretty good at the leg, and I was superhero."
1/1/1900 0:03,1/1/1900 0:03,Ania.,Ania.,neutrality,neutral,neutral,"And you know, there's a reason why I can't do it."
1/1/1900 0:03,1/1/1900 0:03,Jola.,Jola.,neutrality,neutral,neutral,"Johanie, you know what I'm saying."
1/1/1900 0:03,1/1/1900 0:03,Beata.,Beata.,neutrality,neutral,neutral,"It's been a year, and it's gonna take forever."
1/1/1900 0:03,1/1/1900 0:03,I ostatni w zespole Adam.,And the last one in the team is Adam.,acknowledgment,neutral,neutral,"And Adam's last team, and the last of the team on the team."
1/1/1900 0:03,1/1/1900 0:03,"No tak, Leszek mnie nie wziął do swojej drużyny.","Well, Leszek didn't take me into his team.",rejection,sadness,moderate,"Oh, yeah, yeah, Leila took me to his team, and he took care of me."
1/1/1900 0:03,1/1/1900 0:03,No troszkę mnie było przykro.,"Well, I was a little sad.",disappointment,sadness,mild,"I'm sorry, I'm sorry. I'm sorry."
1/1/1900 0:03,1/1/1900 0:04,Ja go też nie wybiorę.,I won't choose him either.,rejection,disgust,mild,"I'm gonna take it out of here, too."
1/1/1900 0:04,1/1/1900 0:04,"Wydawało mi się, że to będzie takie dobre zestawienie trzech wybuchowych, dynamicznych facetów.","It seemed to me that it would be such a good combination of three explosive, dynamic guys.",expectation,happiness,mild,I thought it would be good for three guys to have a good shot at me.
1/1/1900 0:04,1/1/1900 0:04,"No i postawiłem na trzy dziewczyny, które są spokojne, bardzo schematyczne co prawda, ale można wydawać im polecenia.","So I chose three girls who are calm, very methodical to be honest, but you can give them orders.",pragmatism,neutral,neutral,"Well, it's true that there are three girls, and it's true that they're not really cool at all."
1/1/1900 0:04,1/1/1900 0:04,Przyjmują to jakby z pokorą.,They accept it as if with humility.,acceptance,neutral,mild,It's like they're going to go to rooms like they're going to love it.
1/1/1900 0:04,1/1/1900 0:04,"On ma bardzo silny charakter, tak samo jak my obaj raczej dominujemy.","He has a very strong character, just like both of us, we tend to dominate.",assertiveness,neutral,moderate,"He has the same power as we both do, and we're both very strong."
1/1/1900 0:04,1/1/1900 0:04,"Więc ja myślę, że gdyby on mnie wybrał to by było samobójstwo, bo ja bym nie był grzeczny.","So I think that if he chose me, it would be suicide, because I wouldn't be well-behaved.",apprehension,fear,moderate,"So I think he's the one who's trying to kill me, 'cause I'd be the one who's trying to kill me."
1/1/1900 0:04,1/1/1900 0:04,Ja bym rozwalił cały zespół pewnie.,I would probably destroy the whole team.,hostility,anger,moderate,I'd probably be the band of the team.
1/1/1900 0:04,1/1/1900 0:04,Reszta tworzy drugą drużynę i musicie spośród siebie wybrać kapitana.,The rest form the second team and you have to choose a captain among yourselves.,instruction,neutral,neutral,The other team's going to take care of each other's team.
1/1/1900 0:04,1/1/1900 0:04,Krzysztof jesteś w takim razie kapitanem.,"Krzysztof, you are the captain then.",acceptance,neutral,neutral,"Then you're the captain of Kenneth, and you're the captain of the team."
1/1/1900 0:04,1/1/1900 0:04,"Nie mieliśmy problemu z tym, żeby ustawić Krzyśka jako lidera.",We had no problem with appointing Krzysiek as the leader.,acceptance,neutral,neutral,The problem is that we had the problem of the letter as a bee stinger.
1/1/1900 0:04,1/1/1900 0:04,On charakteryzuje się dość dużym ego i jest taki bardzo pewny siebie i tak dalej.,He is characterized by quite a big ego and is very self-confident and so on.,judgment,neutral,mild,"He's so sick of himself, and he's still so terrified of himself, and he's a big loser."
1/1/1900 0:04,1/1/1900 0:04,Dlaczego nie zrzucić tej całej odpowiedzialności na niego?,Why not put all this responsibility on him?,resentment,anger,moderate,"Why did you take the responsibility of this whole thing, then why don't you take responsibility?"
1/1/1900 0:04,1/1/1900 0:04,"Leszek, kto to będzie?","Leszek, who will it be?",curiosity,neutral,mild,"Lewis, who's gonna be in charge of this?"
1/1/1900 0:04,1/1/1900 0:04,Jola.,Jola.,neutrality,neutral,neutral,"Johanie, you know what I'm saying."
1/1/1900 0:04,1/1/1900 0:05,"Jola ma dzieci, gotuje dla dzieci, także to będzie bezpieczne, fajne rozwiązanie.","Jola has children, she cooks for children, so it will be a safe, nice solution.",reassurance,happiness,mild,"Jo, baby, this is gonna be a nice thing for the kids, and it'll be very cool for the kids."
1/1/1900 0:05,1/1/1900 0:05,Krzysiek?,Krzysiek?,curiosity,neutral,mild,"You know, there's a rumor that says, ""No, no, no."
1/1/1900 0:05,1/1/1900 0:05,"Diana, z bardzo prostej przyczyny Diana jest naszą najlepszą sukienniczką.","Diana, for a very simple reason, Diana is our best seamstress.",pride,happiness,mild,"Diana, the best thing about our wedding dress is to be taken into account of Diana."
1/1/1900 0:05,1/1/1900 0:05,"Jest odpowiedzialna za deser, więc najlepiej wybierze do niego składniki.","She is responsible for the dessert, so she will choose the ingredients for it best.",confidence,neutral,mild,"It's best for him to take the dessert, so it's the best for the dessert to take."
1/1/1900 0:05,1/1/1900 0:05,No i uwaga!,And attention!,alertness,surprise,moderate,"Well, there's a way to take a look at that."
1/1/1900 0:05,1/1/1900 0:05,Start!,Start!,anticipation,surprise,mild,"Strictly, it's not like the St. Vincent's."
1/1/1900 0:05,1/1/1900 0:05,"Szybko, szybko!","Quickly, quickly!",urgency,fear,moderate,"Quickly, quicker than that, it's a fast shot!"
1/1/1900 0:05,1/1/1900 0:05,Kapitanowie i pomocnicy mają pięć minut.,Captains and assistants have five minutes.,anticipation,neutral,neutral,"Captain and gentlemen, they have five minutes of help."
1/1/1900 0:05,1/1/1900 0:05,"Kapitanowie i pomocnicy mają pięć minut, żeby wybrać wszystkie potrzebne produkty.",Captains and assistants have five minutes to choose all the necessary products.,anticipation,neutral,neutral,"Captain and gentlemen, all the products have five minutes to choose the product to choose."
1/1/1900 0:05,1/1/1900 0:05,Jajka są niewygodne?,Are eggs uncomfortable?,confusion,surprise,mild,"Jill, they're all vulnerable, aren't they?"
1/1/1900 0:05,1/1/1900 0:05,Tak.,Yes.,acceptance,neutral,neutral,"Yeah, well, that's how it's been."
1/1/1900 0:05,1/1/1900 0:05,"Dobra, ja biorę w rękę jajka.","Alright, I'll take the eggs in my hand.",readiness,neutral,neutral,"All right, I'm gonna take your hand off the eggs."
1/1/1900 0:05,1/1/1900 0:05,"Masło, masło, masło.","Butter, butter, butter.",insistence,neutral,neutral,"Massachusetts, peanut butter, peanut butter."
1/1/1900 0:05,1/1/1900 0:05,Ile?,How much?,curiosity,neutral,neutral,How much does it take to the top of you?
1/1/1900 0:05,1/1/1900 0:05,Masło.,Butter.,neutrality,neutral,neutral,"Massachusetts, Massachusetts."
1/1/1900 0:05,1/1/1900 0:05,Kurde.,Damn.,frustration,anger,mild,"Kurt, you know, it's an emergency."
1/1/1900 0:05,1/1/1900 0:05,"Ty jesteś za desery, ja nic nie szukam dla deserów, ty wszystko do deserów ty szukasz.","You are for desserts, I don't look for anything for desserts, you look for everything for desserts.",accusation,anger,mild,"You're the one who's looking for dessert, and I'm looking for dessert, and I'm looking for dessert."
1/1/1900 0:05,1/1/1900 0:05,"Okej, dobra.","Okay, fine.",acceptance,neutral,neutral,"Okay, well, it's okay, it's okay."
1/1/1900 0:05,1/1/1900 0:05,Masz wszystko do ciasta?,Do you have everything for the cake?,curiosity,neutral,neutral,Do you have anything to do with this?
1/1/1900 0:05,1/1/1900 0:05,Tak.,Yes.,acceptance,neutral,neutral,"Yeah, well, that's how it's been."
1/1/1900 0:05,1/1/1900 0:05,Bo ja w ogóle o tym nie myślę.,Because I don't think about it at all.,detachment,neutral,neutral,'Cause I don't think I'm gonna have to think of it.
1/1/1900 0:05,1/1/1900 0:05,Bierz pomidora.,Take the tomato.,instruction,neutral,neutral,"Take a bathtub, take a look at this."
1/1/1900 0:05,1/1/1900 0:05,Ja biorę pomidora.,I am taking a tomato.,determination,neutral,neutral,I'm going to take a bath.
1/1/1900 0:05,1/1/1900 0:05,"Taką presję czułam na sobie, że no cokolwiek zabraknie, tak?","I felt such pressure on myself, that if anything was missing, right?",pressure,fear,moderate,"Yeah, I feel like I'm going to take a little pressure, so I feel like I'm going to take it, okay?"
1/1/1900 0:05,1/1/1900 0:05,To potem będzie to moja wina.,Then it will be my fault.,guilt,sadness,moderate,"This is my fault, then it's gonna be my fault."
1/1/1900 0:06,1/1/1900 0:06,"Myślałem, że mnie tam Włodek zabije, jak wychodziłem z chłopniem, bo tak trochę dużo na nim było.","I thought Włodek would kill me there when I was leaving with the boy, because there was a bit too much on him.",apprehension,fear,moderate,"I thought it was a lot of that I was going to kill a boy, 'cause it was just like a boy."
1/1/1900 0:06,1/1/1900 0:06,"Uważaj, lezuj!","Watch out, chill!",warning,fear,moderate,"Be careful, watch your mouth, watch out of the line!"
1/1/1900 0:06,1/1/1900 0:06,"Jest, jest.","Jest, jest.",dismissiveness,neutral,mild,He's in the middle of nowhere.
1/1/1900 0:06,1/1/1900 0:06,"Cicho, cicho, cicho.","Quiet, quiet, quiet.",warning,anger,moderate,"You know, it's quiet, it's quiet, quiet, quiet, quiet, quiet, quiet, quiet, quiet."
1/1/1900 0:06,1/1/1900 0:06,"Weź paprykę, więcej cebuli, więcej pomidorów.","Take the pepper, more onions, more tomatoes.",determination,neutral,neutral,"Take care of the box, put on the table, and I'm gonna take more money."
1/1/1900 0:06,1/1/1900 0:06,Nie ma poszu.,There is no poszu.,confusion,neutral,neutral,There's no need to find out why he's got a look at that.
1/1/1900 0:06,1/1/1900 0:06,To bierz rękę i biegaj.,So grab the hand and run.,urgency,fear,moderate,"It's an abandoned hand, and take your hand off."
1/1/1900 0:06,1/1/1900 0:06,Nie bierz rękę!,Don't take the hand!,alarm,fear,moderate,Take a hand to your hand!
1/1/1900 0:06,1/1/1900 0:06,Nie bierz rękę!,Don't take the hand!,warning,fear,moderate,Take a hand to your hand!
1/1/1900 0:06,1/1/1900 0:06,"Biegałam chyba, nie wiem, z pięć, sześć, siedem, nie liczę, ale już tylko biegałam i biegałam.","I was running, I think, I don't know, five, six, seven times, I don't count, but I was just running and running.",restlessness,neutral,moderate,"I mean, I've been running around seven, and I don't know, but I've been running out of my way, and I've grown up."
1/1/1900 0:06,1/1/1900 0:06,"Krzysiek, Leszek, 30 sekund!","Krzysiek, Leszek, 30 seconds!",urgency,fear,moderate,"Least, leuke, 30 seconds, and 30 seconds, you're gonna have a bath!"
1/1/1900 0:06,1/1/1900 0:06,Nie bierz rękę!,Don't take the hand!,warning,fear,moderate,Take a hand to your hand!
1/1/1900 0:06,1/1/1900 0:06,Nie bierz rękę!,Don't take the hand!,alarm,fear,moderate,Take a hand to your hand!
1/1/1900 0:06,1/1/1900 0:06,Nie bierz rękę!,Don't take the hand!,alarm,fear,moderate,Take a hand to your hand!
1/1/1900 0:06,1/1/1900 0:06,"Cztery, trzy, dwa, jeden, stop!","Four, three, two, one, stop!",anticipation,surprise,moderate,"Four, two, three, one, one, one, one, one, one, two, one, one, one, two, six, six, eight!"
1/1/1900 0:06,1/1/1900 0:06,Stop!,Stop!,alarm,fear,intense,"You know, when you're out there, you're going to have to be able to find out!"
1/1/1900 0:06,1/1/1900 0:06,"To, co Krzysiek razem z Dianą wybrali nam z pizzarni MasterChefa, starczyłoby spokojnie do wykarmienia pół klakowa.",What Krzysiek and Diana picked for us from the MasterChef pizzeria would easily be enough to feed half the town.,amusement,happiness,mild,That's what it takes to get out of here in a half an old time-year-old pizza restaurant.
1/1/1900 0:06,1/1/1900 0:06,Jakie menu?,What menu?,confusion,surprise,mild,What's the matter with the menu?
1/1/1900 0:06,1/1/1900 0:07,"Zaczniemy od najprostszych rzeczy, zwykłą pizzę Fungi, z tym, że przyprawioną dużo delikatniej, niż my byśmy to zjedli.","We will start with the simplest things, a regular Fungi pizza, but seasoned much more delicately than we would eat it ourselves.",consideration,neutral,mild,"As a result, we're gonna eat a lot of pizza stuff, so we're gonna eat a lot more than that."
1/1/1900 0:07,1/1/1900 0:07,Dzieci lubią pieczarki?,Do children like mushrooms?,curiosity,neutral,mild,"Kids like to have a baby-in-law, you know?"
1/1/1900 0:07,1/1/1900 0:07,Dzieci lubią pizzę.,Children like pizza.,fondness,happiness,mild,Kids like pizza.
1/1/1900 0:07,1/1/1900 0:07,A pieczarki?,And mushrooms?,curiosity,neutral,mild,What about the sunrise?
1/1/1900 0:07,1/1/1900 0:07,"Dzieci nie lubią grzybów, a szczególnie pieczarek. Pieczarki to jest bleee.","Children don't like mushrooms, especially champignons. Champignons are yuck.",aversion,disgust,moderate,"Kids like it, especially in fact, sometimes it's not funny."
1/1/1900 0:07,1/1/1900 0:07,"Łapy w górę, kto bez pieczarek?","Hands up, who is without mushrooms?",curiosity,neutral,mild,"So, who's in the middle of nowhere?"
1/1/1900 0:07,1/1/1900 0:07,Kto jest za bez pieczarek?,Who is in favor of without mushrooms?,curiosity,neutral,neutral,Who's in the middle of a bitch?
1/1/1900 0:07,1/1/1900 0:07,Bez pieczarek.,Without mushrooms.,preference,neutral,neutral,"No offense, no butterfly, no matter what."
1/1/1900 0:07,1/1/1900 0:07,Deser?,Desert?,curiosity,neutral,mild,"Description of Designation, please."
1/1/1900 0:07,1/1/1900 0:07,"Deser będzie czekoladny biskwit, bo dzieci lubią czekoladę.","The dessert will be a chocolate biscuit, because children like chocolate.",consideration,happiness,mild,"Description of chocolate, 'cause you're gonna like the chocolate, 'cause it's gonna be like chocolate."
1/1/1900 0:07,1/1/1900 0:07,"Czekolada musi być. Dzieci, czekolada to i kropka.","There must be chocolate. Kids, chocolate, that's it, period.",insistence,neutral,moderate,"Kids, it must be a chocolate, and it must be a chocolate."
1/1/1900 0:07,1/1/1900 0:07,Co będzie?,What will happen?,uncertainty,fear,mild,What's the matter with the two of you?
1/1/1900 0:07,1/1/1900 0:07,"Jako danie głównie nuggetsy, do tego będą chipsy ziemniaczane.","As the main dish, mainly nuggets, and there will also be potato chips.",anticipation,neutral,neutral,"As a Chineseistress, they're gonna be able to carry out the chips on the chip."
1/1/1900 0:07,1/1/1900 0:07,"Wiadomo, wszyscy w tej chwili obecni lubią fast foody, tym bardziej dzieci.","Obviously, everyone present at this moment likes fast food, especially children.",acceptance,neutral,neutral,"You know, all the kids like this little kid, and now you're all gonna like a little bit more than that."
1/1/1900 0:07,1/1/1900 0:07,"Na deser będą naleśniki z serem mascarpone z żółtkami, będzie to udekorowane bitą śmietaną i bardzo dużo owoców.","For dessert there will be pancakes with mascarpone cheese and egg yolks, it will be decorated with whipped cream and lots of fruit.",anticipation,happiness,mild,"At the same time, it's gonna have to be a very elegant of the cloth, and it's gonna have to blow up a lot of pesticides."
1/1/1900 0:07,1/1/1900 0:07,150 dzieci?,150 children?,bewilderment,surprise,moderate,"You know, I'm just saying, ""No, no, no, no, no."
1/1/1900 0:07,1/1/1900 0:07,150 dzieci.,150 children.,neutrality,neutral,neutral,"You know, I'm a kid, like, 150 kids."
1/1/1900 0:07,1/1/1900 0:07,Naleśniki?,Pancakes?,curiosity,surprise,mild,"On the contrary, there's nothing to be done."
1/1/1900 0:07,1/1/1900 0:07,Naleśniki.,Pancakes.,craving,happiness,mild,"On the bright side, there's no way to talk to you."
1/1/1900 0:07,1/1/1900 0:07,Zrobiłeś to kiedyś?,Have you ever done it?,curiosity,neutral,mild,Did you ever do that?
1/1/1900 0:07,1/1/1900 0:07,Zrobimy.,We will do it.,determination,neutral,mild,We're gonna do the same thing.
1/1/1900 0:07,1/1/1900 0:07,Jestem w programie Masterchefa.,I am on the Masterchef show.,pride,happiness,mild,"I'm a writer, and I'm in the middle of Malibu."
1/1/1900 0:07,1/1/1900 0:07,Ta konkurencja jest nasza.,This competition is ours.,confidence,happiness,moderate,"This strategy is our successor, and it is ours."
1/1/1900 0:07,1/1/1900 0:07,Jesteście gotowi? Czerwoni?,Are you ready? Reds?,anticipation,surprise,mild,"You're ready for the Red Cross, Redmond?"
1/1/1900 0:07,1/1/1900 0:08,Tak!,Yes!,agreement,happiness,mild,"Yeah, that's how it's been."
